SITE,YEAR,TREE_ID,BAND_NUM,SP,UNIQUE_ID,DATA_SET,ORG_DBH,GAP_WIDTH,DBH,DOY,SKIP,ADJUST,REMOVE,NEW_BAND
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,23.16,29.56478313,242,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,84.16,85.12207891,242,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,23.05,29.56128172,246,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,84.09,85.11985074,246,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,23.12,29.56350989,249,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,84.03,85.11794088,249,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,22.97,29.55873524,253,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,84.06,85.11889581,253,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,23.06,29.56160003,256,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,84.3,85.12653525,256,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,22.95,29.55809862,260,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,84.28,85.12589863,260,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,23.03,29.5606451,263,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,84.29,85.12621694,263,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,23,29.55969017,267,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,84.54,85.13417468,267,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,23.04,29.56096341,270,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,84.77,85.14149581,270,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,23.06,29.56160003,274,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,84.77,85.14149581,274,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,23.06,29.56160003,277,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,84.77,85.14149581,277,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,23.08,29.56223665,281,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,85.18,85.15454652,281,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,23.2,29.56605637,284,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,85.38,85.16091272,284,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,23.2,29.56605637,288,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,85.45,85.16314088,288,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,23.2,29.56605637,290,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,85.45,85.16314088,290,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,23.2,29.56605637,295,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,85.45,85.16314088,295,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,21.8,29.52149299,23,0,1,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,84.28,85.12589863,23,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,22.69,29.54982256,32,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,84.64,85.13735778,32,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,23.27,29.56828454,104,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,84.51,85.13321976,104,0,1,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,23.27,29.56828454,108,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,85.28,85.15772962,108,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,23.22,29.56669299,111,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,84.92,85.14627046,111,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,23.3,29.56923947,114,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,84.67,85.13831271,114,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,23.23,29.5670113,118,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,84.94,85.14690708,118,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,23.24,29.56732961,122,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,85.21,85.15550145,122,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,23.25,29.56764792,125,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,84.95,85.14722539,125,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,23.3,29.56923947,129,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,84.92,85.14627046,129,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,23.37,29.57146764,132,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,84.8,85.14245074,132,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,23.83,29.58610989,135,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,84.8,85.14245074,135,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,24.5,29.60743665,140,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,85.16,85.1539099,140,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,25.18,29.62908173,143,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,85.52,85.16536905,143,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,25.63,29.64340567,147,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,85.41,85.16186764,147,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,26.53,29.67205356,150,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,86.1,85.18383103,150,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,26.84,29.68192117,154,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,86.42,85.19401694,154,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,27.78,29.7118423,157,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,87.01,85.21279723,157,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,28.67,29.74017188,161,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,87.43,85.22616624,161,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,29.44,29.76468174,164,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,88.89,85.27263949,164,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,29.67,29.77200287,168,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,89.23,85.28346202,168,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,30.59,29.80128738,171,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,90.14,85.31242822,171,0,1,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,30.96,29.81306484,174,0,1,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,90.35,85.31911273,174,0,1,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,31.83,29.8407578,178,0,1,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,91.2,85.34616907,178,0,1,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,33.18,29.88372964,188,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,92.89,85.39996344,188,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,34.12,29.91365076,192,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,93.88,85.43147612,192,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,34.71,29.93243105,197,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,95.31,85.47699443,197,0,1,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,34.88,29.93784232,202,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,95.48,85.4824057,202,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,34.96,29.9403888,206,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,96.08,85.50150429,206,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,35.73,29.96489866,209,0,1,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,96.72,85.52187613,209,0,1,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,35.88,29.9696733,213,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,96.99,85.53047049,213,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,36.45,29.98781697,217,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,98.08,85.56516627,217,0,1,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,36.42,29.98686204,220,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,98.16,85.56771275,220,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,36.47,29.98845359,223,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,98.33,85.57312402,223,0,1,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,36.86,30.00086767,226,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,99.65,85.61514092,226,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,36.84,30.00023105,230,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,99.64,85.61482261,230,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,36.89,30.0018226,233,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,99.74,85.61800571,233,0,1,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,36.93,30.00309584,238,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,100.11,85.62978318,238,0,1,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,36.93,30.00309584,241,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,100.15,85.63105642,241,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,36.94,30.00341415,245,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,100.57,85.64442543,245,0,1,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,36.94,30.00341415,248,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,100.69,85.64824515,248,0,1,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,36.97,30.00436908,253,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,100.8,85.65174656,253,0,1,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,37.08,30.00787049,260,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,100.95,85.65652121,260,0,1,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,36.9,30.00214091,267,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,100.94,85.6562029,267,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,37.24,30.01296345,274,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,102.12,85.69376346,274,0,1,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,37.28,30.01423669,281,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,101.87,85.68580572,281,0,1,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,37.2,30.01169021,288,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,101.84,85.68485079,288,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,37.34,30.01614655,297,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,102.06,85.69185361,297,0,1,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,37.48,30.02060289,325,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,102.06,85.69185361,325,0,0,0,0
SERC,2014,30193,2,FAGR,SERC301931,INT,29.2,37.57,30.02346768,346,0,0,0,0
SERC,2014,30261,1,LIST2,SERC302611,INT,84.7,102.32,85.70012966,346,0,0,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,37.36,30.01678317,16,0,0,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,101.9,85.68676065,16,0,1,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,36.56,29.99131838,56,0,0,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,100.77,85.65079163,56,0,0,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,37.36,30.01678317,75,0,0,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,102.24,85.69758318,75,0,1,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,37.46,30.01996627,89,0,0,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,102.13,85.69408177,89,0,1,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,37.44,30.01932965,100,0,0,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,101.29,85.66734374,100,0,1,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,37.36,30.01678317,107,0,1,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,101.14,85.6625691,107,0,1,0,0
SERC,2015,30199,1,QUAL,SERC301991,INT,20.9,14.75,20.9,107,0,0,0,1
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,37.42,30.01869303,112,0,0,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,101.23,85.66543388,112,0,1,0,0
SERC,2015,30199,1,QUAL,SERC301991,INT,20.9,14.69,20.89809014,112,0,1,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,37.41,30.01837472,117,0,0,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,101.01,85.65843107,117,0,1,0,0
SERC,2015,30199,1,QUAL,SERC301991,INT,20.9,14.38,20.88822253,117,0,1,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,37.4,30.01805641,121,0,0,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,100.64,85.6466536,121,0,1,0,0
SERC,2015,30199,1,QUAL,SERC301991,INT,20.9,14.3,20.88567606,121,0,0,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,37.34,30.01614655,125,0,0,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,100.57,85.64442543,125,0,0,0,0
SERC,2015,30199,1,QUAL,SERC301991,INT,20.9,14.37,20.88790422,125,0,0,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,37.42,30.01869303,128,0,0,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,100.49,85.64187895,128,0,0,0,0
SERC,2015,30199,1,QUAL,SERC301991,INT,20.9,14.39,20.88854084,128,0,0,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,37.75,30.02919725,132,0,1,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,100.67,85.64760853,132,0,1,0,0
SERC,2015,30199,1,QUAL,SERC301991,INT,20.9,14.45,20.8904507,132,0,0,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,38.36,30.04861416,135,0,1,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,100.9,85.65492966,135,0,1,0,0
SERC,2015,30199,1,QUAL,SERC301991,INT,20.9,14.46,20.89076901,135,0,0,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,39.04,30.07025923,139,0,1,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,101.53,85.67498318,139,0,1,0,0
SERC,2015,30199,1,QUAL,SERC301991,INT,20.9,14.58,20.89458873,139,0,1,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,39.54,30.08617472,142,0,1,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,102.15,85.69471839,142,0,1,0,0
SERC,2015,30199,1,QUAL,SERC301991,INT,20.9,14.65,20.8968169,142,0,0,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,39.69,30.09094937,146,0,1,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,102.04,85.69121699,146,0,1,0,0
SERC,2015,30199,1,QUAL,SERC301991,INT,20.9,14.56,20.89395211,146,0,0,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,40.13,30.10495501,148,0,1,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,102.15,85.69471839,148,0,1,0,0
SERC,2015,30199,1,QUAL,SERC301991,INT,20.9,14.55,20.8936338,148,0,0,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,41.58,30.15110994,153,0,1,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,103.53,85.73864516,153,0,1,0,0
SERC,2015,30199,1,QUAL,SERC301991,INT,20.9,14.67,20.89745352,153,0,1,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,41.95,30.16288741,156,0,1,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,104.04,85.75487896,156,0,1,0,0
SERC,2015,30199,1,QUAL,SERC301991,INT,20.9,14.71,20.89872676,156,0,0,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,42.38,30.17657473,160,0,1,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,104.57,85.77174939,160,0,1,0,0
SERC,2015,30199,1,QUAL,SERC301991,INT,20.9,14.72,20.89904507,160,0,0,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,42.76,30.18867051,163,0,1,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,104.67,85.77493249,163,0,1,0,0
SERC,2015,30199,1,QUAL,SERC301991,INT,20.9,14.71,20.89872676,163,0,0,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,43.56,30.2141353,166,0,1,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,105.35,85.79657756,166,0,1,0,0
SERC,2015,30199,1,QUAL,SERC301991,INT,20.9,14.68,20.89777183,166,0,1,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,44.64,30.24851277,173,0,1,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,106.58,85.83572967,173,0,1,0,0
SERC,2015,30199,1,QUAL,SERC301991,INT,20.9,14.78,20.90095493,173,0,1,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,45.09,30.26283671,176,0,1,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,107.09,85.85196348,176,0,1,0,0
SERC,2015,30199,1,QUAL,SERC301991,INT,20.9,14.83,20.90254648,176,0,0,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,45.86,30.28734657,181,0,1,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,107.92,85.8783832,181,0,1,0,0
SERC,2015,30199,1,QUAL,SERC301991,INT,20.9,14.84,20.90286479,181,0,0,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,46.75,30.31567615,187,0,1,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,108.85,85.90798602,187,0,1,0,0
SERC,2015,30199,1,QUAL,SERC301991,INT,20.9,14.88,20.90413803,187,0,0,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,47.25,30.33159165,191,0,1,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,109.65,85.93345081,191,0,1,0,1
SERC,2015,30199,1,QUAL,SERC301991,INT,20.9,14.89,20.90445634,191,0,0,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,47.66,30.34464235,195,0,1,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,109.98,85.94395504,195,0,0,0,0
SERC,2015,30199,1,QUAL,SERC301991,INT,20.9,14.89,20.90445634,195,0,0,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,47.91,30.3526001,198,0,1,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,110.11,85.94809306,198,0,1,0,0
SERC,2015,30199,1,QUAL,SERC301991,INT,20.9,14.84,20.90286479,198,0,0,0,0
SERC,2015,30193,2,FAGR,SERC301931,INT,29.2,48.44,30.36947052,202,0,1,0,0
SERC,2015,30261,1,LIST2,SERC302611,INT,84.7,110.63,85.96464518,202,0,1,0,0
